version,company_name,industry,market_cap,goal,impact
Previous,Commercial Bank of Dubai PSC,Banks,3006.3581288,03 - Health,-191.51934805679954
Previous,Commercial Bank of Dubai PSC,Banks,3006.3581288,13 - Climate change,-225.77223477542825
Previous,Ukrsotsbank PJSC,Banks,219.729638256,03 - Health,-191.51934805679954
Previous,Ukrsotsbank PJSC,Banks,219.729638256,13 - Climate change,-177.10367648622392
Previous,BreadTalk Group Ltd.,Restaurants,270.091120464,03 - Health,-112.84414160196303
Previous,BreadTalk Group Ltd.,Restaurants,270.091120464,13 - Climate change,-3338.396643593895
Previous,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL.LTD,Pharmaceuticals,23169.57908,03 - Health,-466.5759748307514
Previous,ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL.LTD,Pharmaceuticals,23169.57908,13 - Climate change,-897.713245000017
Previous,Sociedad Matriz del Banco de Chile SA,Banks,5280.870935600001,03 - Health,-73.94281131653753
Previous,Sociedad Matriz del Banco de Chile SA,Banks,5280.870935600001,13 - Climate change,-177.10367648622392
Previous,CHINESE FOOD AND BEVERAGE GROUP LIMITED,Restaurants,1.2409181766,03 - Health,-365.568114490791
Previous,CHINESE FOOD AND BEVERAGE GROUP LIMITED,Restaurants,1.2409181766,13 - Climate change,-1801.2846747436138
Previous,UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI,Banks,3710.10945,03 - Health,-92.41041976606579
Previous,UNIONE DI BANCHE ITALIANE SOCIETA PER AZIONI,Banks,3710.10945,13 - Climate change,-126.69698855468148
Previous,DAWNRAYS PHARMACEUTICAL (HOLDINGS) LIMITED,Pharmaceuticals,270.38927880000006,03 - Health,77678004.96801499
Previous,DAWNRAYS PHARMACEUTICAL (HOLDINGS) LIMITED,Pharmaceuticals,270.38927880000006,13 - Climate change,-11640.376999730943
Previous,CRH Medical Corporation,Health Care Services,164.71355953000003,03 - Health,-266.07413326015467
Previous,CRH Medical Corporation,Health Care Services,164.71355953000003,13 - Climate change,-800.1387670659623
Previous,CHINA HEALTH GROUP INC.,Pharmaceuticals,52.37478396,03 - Health,-324.32031632854455
Previous,CHINA HEALTH GROUP INC.,Pharmaceuticals,52.37478396,13 - Climate change,-1824.4902010085884
Previous,PT Bank Bukopin Tbk,Banks,1353.29305301,03 - Health,-525.9207945340895
Previous,PT Bank Bukopin Tbk,Banks,1353.29305301,13 - Climate change,-789.8719511508797
Previous,MEDICAMEN BIOTECH LIMITED,Pharmaceuticals,30.927414646,03 - Health,86421600.94200417
Previous,MEDICAMEN BIOTECH LIMITED,Pharmaceuticals,30.927414646,13 - Climate change,-4677.796272001553
Previous,NOW CORPORATION,Technology,154.470048789,03 - Health,-13.195113336777482
Previous,NOW CORPORATION,Technology,154.470048789,13 - Climate change,-374.5562273459865
Previous,VISTA PHARMACEUTICALS LTD.,Pharmaceuticals,2.2546972664,03 - Health,86421600.94200417
Previous,VISTA PHARMACEUTICALS LTD.,Pharmaceuticals,2.2546972664,13 - Climate change,-5866.78143
Previous,FUTURA MEDICAL PLC,Pharmaceuticals,49.622617975,03 - Health,-324.32031632854455
Previous,FUTURA MEDICAL PLC,Pharmaceuticals,49.622617975,13 - Climate change,-2442.0381869999997
Previous,"""Kaspi Bank"" Joint Stock Company",Banks,378.4817964,03 - Health,-191.51934805679952
Previous,"""Kaspi Bank"" Joint Stock Company",Banks,378.4817964,13 - Climate change,-289.8261146237295
Previous,ATFBank Joint-Stock Company,Banks,141.85219867599997,03 - Health,-191.51934805679954
Previous,ATFBank Joint-Stock Company,Banks,141.85219867599997,13 - Climate change,-289.1731178075667
Previous,Croatia Airlines dd,Airlines,83.83735666800001,03 - Health,-9697.894044370361
Previous,Croatia Airlines dd,Airlines,83.83735666800001,13 - Climate change,-37321.234617693
Previous,ITALIAONLINE S.P.A.,Technology,295.79120565,03 - Health,-21.038893944034577
Previous,ITALIAONLINE S.P.A.,Technology,295.79120565,13 - Climate change,-374.5562273459865
Previous,AMMB HOLDINGS BERHAD,Banks,2206.66351052,03 - Health,-85.15204132878327
Previous,AMMB HOLDINGS BERHAD,Banks,2206.66351052,13 - Climate change,-2.55121523775411
Previous,THE PROVIDENCE SERVICE CORPORATION,Health Care Services,1980.1,03 - Health,-45.607880795488356
Previous,THE PROVIDENCE SERVICE CORPORATION,Health Care Services,1980.1,13 - Climate change,-241.31417826521837
Previous,SAKAE HOLDINGS LTD.,Restaurants,5.186252372799999,03 - Health,-365.568114490791
